Id,Label,modularity_class,degree
789,789,13,1
790,790,20,1
792,792,3,3
795,795,21,3
796,796,0,2
797,797,16,3
798,798,11,2
800,800,24,1
801,801,23,2
802,802,5,1
805,805,23,2
807,807,1,5
809,809,3,3
812,812,24,2
814,814,4,2
816,816,7,9
817,817,17,1
818,818,21,3
819,819,24,13
820,820,2,16
821,821,20,2
822,822,20,1
824,824,24,1
825,825,3,2
826,826,23,2
827,827,16,1
828,828,18,1
830,830,22,2
831,831,6,2
832,832,15,1
833,833,11,1
835,835,10,2
836,836,15,2
837,837,6,2
838,838,24,1
839,839,4,2
840,840,16,10
841,841,17,2
842,842,3,1
843,843,9,1
846,846,17,1
847,847,10,2
849,849,12,13
851,851,20,22
852,852,9,2
853,853,25,1
855,855,9,3
856,856,1,1
857,857,15,1
859,859,17,1
861,861,7,3
862,862,22,3
863,863,5,1
864,864,12,2
865,865,0,15
866,866,0,1
867,867,2,1
869,869,4,1
871,871,19,1
873,873,12,3
875,875,12,2
876,876,0,1
877,877,11,2
878,878,24,1
879,879,11,5
881,881,2,1
882,882,3,11
884,884,0,2
887,887,17,1
891,891,3,21
892,892,2,1
893,893,24,2
894,894,19,1
895,895,10,2
898,898,16,1
900,900,3,1
901,901,8,1
902,902,13,1
903,903,18,1
906,906,4,2
907,907,17,3
908,908,6,1
914,914,20,1
916,916,12,17
917,917,23,2
919,919,10,1
920,920,17,2
921,921,23,1
923,923,7,2
924,924,1,1
925,925,19,1
926,926,12,1
927,927,5,1
930,930,4,16
931,931,17,1
932,932,10,19
933,933,17,1
934,934,1,13
937,937,5,9
938,938,19,2
940,940,25,1
941,941,17,4
942,942,12,1
943,943,23,1
944,944,0,1
946,946,6,1
949,949,12,2
950,950,19,1
953,953,6,1
954,954,24,2
955,955,12,1
956,956,20,2
957,957,4,1
958,958,2,4
962,962,19,1
964,964,20,2
967,967,23,2
970,970,19,2
971,971,6,20
972,972,4,11
974,974,1,11
975,975,0,3
976,976,11,8
977,977,19,16
978,978,17,1
982,982,9,8
984,984,21,2
985,985,19,12
986,986,14,2
989,989,23,7
990,990,24,20
991,991,1,3
992,992,11,13
993,993,17,2
994,994,8,9
995,995,20,1
996,996,10,6
997,997,19,2
999,999,24,3
1000,1000,2,2
1001,1001,0,6
1002,1002,8,2
1004,1004,17,10
1005,1005,12,3
1007,1007,20,1
1008,1008,1,2
1009,1009,4,1
1010,1010,10,1
1012,1012,10,1
1014,1014,11,2
1017,1017,17,1
1018,1018,24,1
1020,1020,21,3
1021,1021,4,3
1022,1022,24,1
1024,1024,7,3
1027,1027,24,1
1028,1028,11,1
1029,1029,2,2
1030,1030,24,1
1032,1032,24,2
1033,1033,7,3
1037,1037,19,1
1038,1038,23,1
1039,1039,18,1
1040,1040,25,19
1041,1041,4,2
1042,1042,6,1
1043,1043,0,1
1047,1047,19,2
1048,1048,4,1
1052,1052,19,1
1054,1054,8,1
1056,1056,1,1
1057,1057,19,2
1058,1058,7,12
1059,1059,1,1
1060,1060,0,2
1061,1061,23,2
1062,1062,20,1
1063,1063,0,1
1064,1064,14,2
1065,1065,24,2
1066,1066,22,1
1067,1067,4,2
1069,1069,14,1
1071,1071,18,1
1072,1072,10,1
1073,1073,12,4
1074,1074,17,1
1075,1075,3,2
1076,1076,10,3
1077,1077,17,1
1078,1078,23,1
1079,1079,16,3
1080,1080,0,1
1081,1081,24,1
1082,1082,24,1
1084,1084,15,2
1085,1085,6,1
1088,1088,20,1
1089,1089,1,1
1091,1091,20,1
1093,1093,4,2
1094,1094,14,18
1097,1097,5,2
1098,1098,21,2
1099,1099,3,1
1100,1100,20,1
1103,1103,0,1
1104,1104,16,1
1105,1105,21,1
1107,1107,24,2
1109,1109,5,1
1111,1111,2,2
1114,1114,16,1
1116,1116,20,2
1117,1117,21,1
1118,1118,23,1
1119,1119,25,2
1121,1121,20,1
1123,1123,13,1
1124,1124,4,1
1125,1125,17,1
1126,1126,24,2
1127,1127,20,2
1130,1130,12,2
1131,1131,6,2
1134,1134,15,2
1135,1135,15,1
1137,1137,0,1
1138,1138,2,1
1139,1139,0,1
1140,1140,0,2
1141,1141,13,1
1142,1142,24,1
1143,1143,8,21
1144,1144,2,1
1146,1146,6,2
1147,1147,9,11
1148,1148,15,1
1149,1149,19,4
1150,1150,20,3
1151,1151,9,1
1152,1152,6,3
1154,1154,5,2
1157,1157,6,1
1159,1159,9,21
1160,1160,3,1
1161,1161,21,2
1163,1163,9,1
1164,1164,20,1
1166,1166,24,1
1167,1167,11,1
1168,1168,25,1
1169,1169,14,2
1170,1170,17,12
1171,1171,5,1
1172,1172,20,2
1173,1173,11,3
1174,1174,8,2
1175,1175,11,1
1176,1176,10,6
1178,1178,2,1
1180,1180,12,1
1181,1181,12,1
1183,1183,6,2
1184,1184,20,1
1185,1185,10,1
1187,1187,2,1
1189,1189,7,1
1190,1190,17,1
1191,1191,24,14
1192,1192,4,1
1193,1193,23,2
1194,1194,14,1
1195,1195,25,1
1197,1197,3,2
1201,1201,5,1
1202,1202,13,1
1204,1204,25,9
1205,1205,7,1
1206,1206,2,2
1208,1208,12,6
1210,1210,25,1
1211,1211,20,2
1213,1213,18,3
1215,1215,19,3
1216,1216,6,1
1217,1217,24,1
1218,1218,4,1
1220,1220,7,1
1222,1222,0,1
1223,1223,3,1
1225,1225,13,1
1226,1226,12,1
1228,1228,11,18
1231,1231,12,1
1232,1232,3,2
1236,1236,14,8
1237,1237,15,1
1238,1238,0,4
1239,1239,25,2
1240,1240,23,1
1241,1241,10,1
1242,1242,5,1
1243,1243,1,1
1245,1245,10,1
1246,1246,3,1
1247,1247,6,2
1249,1249,21,2
1250,1250,8,1
1251,1251,22,1
1252,1252,19,1
1253,1253,7,1
1254,1254,23,2
1255,1255,6,22
1257,1257,25,16
1258,1258,25,2
1259,1259,6,17
1260,1260,22,19
1263,1263,25,1
1265,1265,10,23
1266,1266,6,2
1267,1267,15,3
1268,1268,2,1
1269,1269,22,1
1270,1270,24,20
1271,1271,12,2
1272,1272,25,2
1274,1274,6,1
1275,1275,15,1
1276,1276,7,3
1277,1277,21,18
1278,1278,0,1
1282,1282,12,18
1283,1283,15,10
1284,1284,4,3
1285,1285,1,1
1286,1286,2,2
1287,1287,22,12
1288,1288,17,10
1289,1289,20,19
1290,1290,10,1
1291,1291,2,2
1292,1292,1,2
1295,1295,12,1
1299,1299,15,1
1300,1300,3,1
1301,1301,17,1
1302,1302,24,16
1303,1303,9,1
1304,1304,7,1
1305,1305,7,1
1306,1306,22,11
1307,1307,2,1
1309,1309,15,1
1310,1310,1,16
1313,1313,23,1
1315,1315,20,20
1316,1316,10,23
1317,1317,12,2
1318,1318,3,1
1319,1319,25,1
1320,1320,12,18
1321,1321,7,1
1322,1322,22,1
1323,1323,11,1
1324,1324,3,2
1325,1325,20,15
1326,1326,11,1
1327,1327,17,1
1328,1328,24,1
1330,1330,12,2
1334,1334,13,2
1335,1335,22,1
1336,1336,19,1
1339,1339,13,11
1340,1340,7,2
1343,1343,25,1
1345,1345,15,4
1349,1349,16,1
1350,1350,3,4
1352,1352,20,1
1353,1353,10,2
1354,1354,4,13
1355,1355,16,1
1356,1356,11,5
1357,1357,21,1
1359,1359,24,2
1361,1361,8,5
1362,1362,23,1
1363,1363,0,2
1364,1364,24,1
1367,1367,24,1
1372,1372,11,1
1374,1374,9,2
1375,1375,8,9
1376,1376,20,1
1377,1377,18,3
1378,1378,23,1
1379,1379,21,2
1380,1380,15,2
1381,1381,19,1
1382,1382,25,4
1383,1383,25,2
1385,1385,2,2
1386,1386,9,1
1387,1387,12,2
1388,1388,17,1
1389,1389,9,5
1390,1390,20,4
1391,1391,8,2
1393,1393,14,2
1396,1396,9,1
1397,1397,7,3
1398,1398,20,2
1399,1399,11,1
1401,1401,23,15
1402,1402,0,6
1403,1403,17,3
1404,1404,10,1
1405,1405,11,1
1407,1407,0,1
1408,1408,7,1
1409,1409,23,1
1410,1410,20,2
1411,1411,22,1
1412,1412,12,1
1413,1413,25,2
1414,1414,10,1
1415,1415,0,1
1416,1416,9,2
1418,1418,4,1
1419,1419,23,1
1420,1420,25,1
1421,1421,22,1
1423,1423,12,8
1424,1424,9,1
1425,1425,20,2
1426,1426,5,19
1428,1428,23,1
1429,1429,17,8
1430,1430,17,2
1432,1432,17,1
1434,1434,25,2
1436,1436,20,1
1439,1439,6,1
1440,1440,6,18
1442,1442,20,1
1444,1444,1,2
1445,1445,1,1
1446,1446,6,1
1447,1447,3,1
1448,1448,24,4
1449,1449,5,1
1451,1451,25,1
1453,1453,12,9
1454,1454,1,2
